S_AMPEAK_TT,S_AMOFFPEAK_TTV,S_AMOFFPEAK_TT,S_PMOFFPEAK_TT,S_PMPEAK_TT,S_EVENING_TT,S_AMOFFPEAK_OCCUPANCY,S_PMOFFPEAK_OCCUPANCY,S_PMPEAK_OCCUPANCY,D_AMPEAK_OCCUPANCY,D_AMOFFPEAK_OCCUPANCY,D_PMOFFPEAK_OCCUPANCY,folder,m0,m2,m4,m5,m7,m8,m9,m10,m15,m17,m18,m999,m1001,m1015
0.0,-1.0,-1.0,0.0,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,0.0,-1.0,-0.6666666666666666,-1.0,/projects/vsokolov/timing-austin//experiments/Sim22,1358388,321387,17996,1043,24286,90405,22918,72859,3732,49573,62330,1802,300,82069
0.0,-1.0,-1.0,0.0,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,0.0,-1.0,-0.6666666666666666,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim23,1358043,321423,17711,1064,24195,90548,23091,72212,3682,49573,62330,1746,316,82126
0.0,-1.0,-1.0,0.0,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-1.0,0.0,-1.0,-0.6666666666666666,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim24,1352657,324306,17095,999,24279,103159,22468,74251,3717,49573,62330,1722,315,83783
0.0,-0.33333333333333337,-1.0,0.0,-0.6666666666666666,-0.33333333333333337,-0.6666666666666666,-1.0,0.0,-1.0,-0.6666666666666666,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim25,1353262,325738,17065,1074,24547,103536,22979,73424,3775,49573,62330,1830,303,83442
-1.0,0.0,-0.33333333333333337,-0.33333333333333337,0.0,0.0,-0.6666666666666666,0.0,-1.0,-0.33333333333333337,0.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim26,1322996,319093,18744,1241,24137,79878,22994,70689,3753,49573,62330,2030,301,83445
-0.33333333333333337,0.0,-0.33333333333333337,-0.33333333333333337,0.0,0.0,-0.6666666666666666,0.0,-1.0,-0.33333333333333337,0.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim27,1327181,319122,18439,1285,24342,81718,22638,70969,3648,49573,62330,1846,302,83492
-0.33333333333333337,0.0,-0.33333333333333337,-1.0,0.0,0.0,-0.6666666666666666,0.0,-1.0,-0.33333333333333337,0.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim28,1313590,319014,18656,1238,25138,89260,21530,73128,3585,49573,62330,2044,359,85233
-0.33333333333333337,0.0,-0.33333333333333337,-1.0,0.0,0.0,-0.6666666666666666,0.0,-1.0,-1.0,0.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim29,1313872,319956,18580,1249,24832,89475,21428,73849,3624,49573,62330,1940,382,85164
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-1.0,-1.0,0.0,-0.33333333333333337,-1.0,-1.0,-1.0,-0.33333333333333337,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim3,1327541,320138,17184,1019,24539,98658,21912,74066,3556,49573,62330,1744,309,87395
-0.33333333333333337,0.0,-0.33333333333333337,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim30,1324563,319136,18611,1165,25096,84230,21997,72310,3583,49573,62330,1904,369,84668
